event_id,player_id,player_name,team_id,team_name,period_id,time_seconds,standart_name,possession_name,possession_team_id,possession_number,attack_status_name,attack_type_name,attack_team_id,under_pressure,high_speed,action_id,type_name,result_id,generic_action_type_id,generic_action_type_name,start_x,start_y,end_x,end_y,body_name,gate_x,gate_y,result_name,seconds_since_poss,is_poss_team,is_att_team,_id
15930,3962,Michael Bradley,3587,Toronto,1,2156.72,Open play,Ball possession,3587,73,Start,Positional attack,3587,FALSE,FALSE,1011,Attacking pass accurate,1,1,Pass,12.8,47.2,27.2,56.4,Unknown,0,0,success,0,TRUE,TRUE,1098448___73___15930___15953___goal
15931,1446,Sebastian Giovinco,3587,Toronto,1,2157.77,Open play,Ball possession,3587,73,Attack,Positional attack,3587,FALSE,TRUE,2051,Successfull dribbling,1,2,Challenges,27.2,56.4,27.2,56.4,Unknown,0,0,success,1.050000000000182,TRUE,TRUE,1098448___73___15930___15953___goal
15932,1446,Sebastian Giovinco,3587,Toronto,1,2158.68,Open play,Ball possession,3587,73,Attack,Positional attack,3587,FALSE,TRUE,21000,Possession,1,21,Possession,32.4,60,32.4,60,Unknown,0,0,success,1.9600000000000364,TRUE,TRUE,1098448___73___15930___15953___goal
15934,1446,Sebastian Giovinco,3587,Toronto,1,2163.13,Open play,Ball possession,3587,73,Attack,Positional attack,3587,FALSE,FALSE,1011,Attacking pass accurate,1,1,Pass,63.3,51.8,94.7,3.6,Unknown,0,0,success,6.410000000000309,TRUE,TRUE,1098448___73___15930___15953___goal
15935,10260,Tosaint Ricketts,3587,Toronto,1,2168.43,Open play,Ball possession,3587,73,Attack,Positional attack,3587,FALSE,FALSE,22000,Ball receiving,1,22,Ball receiving,94.7,3.6,94.7,3.6,Unknown,0,0,success,11.710000000000036,TRUE,TRUE,1098448___73___15930___15953___goal
15936,10260,Tosaint Ricketts,3587,Toronto,1,2170.41,Open play,Ball possession,3587,73,Attack,Positional attack,3587,FALSE,FALSE,1011,Attacking pass accurate,1,1,Pass,93,6.2,80.4,9.6,Unknown,0,0,success,13.690000000000055,TRUE,TRUE,1098448___73___15930___15953___goal
15937,14457,Jay Chapman,3587,Toronto,1,2171.8,Open play,Ball possession,3587,73,Attack,Positional attack,3587,FALSE,FALSE,22000,Ball receiving,1,22,Ball receiving,80.4,9.6,80.4,9.6,Unknown,0,0,success,15.080000000000382,TRUE,TRUE,1098448___73___15930___15953___goal
15938,14457,Jay Chapman,3587,Toronto,1,2172.92,Open play,Ball possession,3587,73,Attack,Positional attack,3587,FALSE,FALSE,1011,Attacking pass accurate,1,1,Pass,75.8,8.5,65.8,3.6,Unknown,0,0,success,16.200000000000273,TRUE,TRUE,1098448___73___15930___15953___goal
15939,181862,Auro Alvaro da Cruz Junior,3587,Toronto,1,2174.27,Open play,Ball possession,3587,73,Attack,Positional attack,3587,FALSE,FALSE,22000,Ball receiving,1,22,Ball receiving,65.8,3.6,65.8,3.6,Unknown,0,0,success,17.550000000000182,TRUE,TRUE,1098448___73___15930___15953___goal
15940,181862,Auro Alvaro da Cruz Junior,3587,Toronto,1,2174.69,Open play,Ball possession,3587,73,Attack,Positional attack,3587,FALSE,FALSE,1011,Attacking pass accurate,1,1,Pass,67.1,4.6,67.2,17.9,Unknown,0,0,success,17.970000000000255,TRUE,TRUE,1098448___73___15930___15953___goal
15941,307551,Liam Fraser,3587,Toronto,1,2175.35,Open play,Ball possession,3587,73,Attack,Positional attack,3587,FALSE,FALSE,22000,Ball receiving,1,22,Ball receiving,67.2,17.9,67.2,17.9,Unknown,0,0,success,18.63000000000011,TRUE,TRUE,1098448___73___15930___15953___goal
15942,307551,Liam Fraser,3587,Toronto,1,2175.95,Open play,Ball possession,3587,73,Attack,Positional attack,3587,FALSE,FALSE,1011,Attacking pass accurate,1,1,Pass,67.1,20,75.6,22.6,Unknown,0,0,success,19.230000000000018,TRUE,TRUE,1098448___73___15930___15953___goal
15943,14457,Jay Chapman,3587,Toronto,1,2177.03,Open play,Ball possession,3587,73,Attack,Positional attack,3587,FALSE,FALSE,1011,Attacking pass accurate,1,1,Pass,75.6,22.6,76.7,19.1,Unknown,0,0,success,20.3100000000004,TRUE,TRUE,1098448___73___15930___15953___goal
15944,307551,Liam Fraser,3587,Toronto,1,2178.17,Open play,Ball possession,3587,73,Attack,Positional attack,3587,FALSE,FALSE,1011,Attacking pass accurate,1,1,Pass,76.7,19.1,79.1,2.6,Unknown,0,0,success,21.450000000000273,TRUE,TRUE,1098448___73___15930___15953___goal
15945,181862,Auro Alvaro da Cruz Junior,3587,Toronto,1,2180.17,Open play,Ball possession,3587,73,Attack,Positional attack,3587,FALSE,FALSE,22000,Ball receiving,1,22,Ball receiving,79.1,2.6,79.1,2.6,Unknown,0,0,success,23.450000000000273,TRUE,TRUE,1098448___73___15930___15953___goal
15946,181862,Auro Alvaro da Cruz Junior,3587,Toronto,1,2183.26,Open play,Ball possession,3587,73,Attack,Positional attack,3587,FALSE,FALSE,1011,Attacking pass accurate,1,1,Pass,83.7,4.3,72.2,4.4,Unknown,0,0,success,26.54000000000042,TRUE,TRUE,1098448___73___15930___15953___goal
15947,307551,Liam Fraser,3587,Toronto,1,2185.32,Open play,Ball possession,3587,73,Attack,Positional attack,3587,FALSE,FALSE,22000,Ball receiving,1,22,Ball receiving,72.2,4.4,72.2,4.4,Unknown,0,0,success,28.600000000000364,TRUE,TRUE,1098448___73___15930___15953___goal
15948,307551,Liam Fraser,3587,Toronto,1,2186.34,Open play,Ball possession,3587,73,Attack,Positional attack,3587,FALSE,FALSE,1021,Non attacking pass accurate,1,1,Pass,69.8,5.3,61.7,6.3,Unknown,0,0,success,29.620000000000346,TRUE,TRUE,1098448___73___15930___15953___goal
15949,30220,Jason Hernandez,3587,Toronto,1,2187.18,Open play,Ball possession,3587,73,Attack,Positional attack,3587,FALSE,FALSE,22000,Ball receiving,1,22,Ball receiving,61.7,6.3,61.7,6.3,Unknown,0,0,success,30.460000000000036,TRUE,TRUE,1098448___73___15930___15953___goal
15950,30220,Jason Hernandez,3587,Toronto,1,2187.92,Open play,Ball possession,3587,73,Attack,Positional attack,3587,FALSE,FALSE,1021,Non attacking pass accurate,1,1,Pass,60.8,8.4,49.5,27.8,Unknown,0,0,success,31.200000000000273,TRUE,TRUE,1098448___73___15930___15953___goal
15951,3962,Michael Bradley,3587,Toronto,1,2189.38,Open play,Ball possession,3587,73,Attack,Positional attack,3587,FALSE,FALSE,22000,Ball receiving,1,22,Ball receiving,49.5,27.8,49.5,27.8,Unknown,0,0,success,32.66000000000031,TRUE,TRUE,1098448___73___15930___15953___goal
15952,3962,Michael Bradley,3587,Toronto,1,2190.07,Open play,Ball possession,3587,73,Attack,Positional attack,3587,FALSE,FALSE,1021,Non attacking pass accurate,1,1,Pass,49.8,29.6,51.5,47.7,Unknown,0,0,success,33.350000000000364,TRUE,TRUE,1098448___73___15930___15953___goal
15953,3563,Gregory van der Wiel,3587,Toronto,1,2191.33,Open play,Ball possession,3587,73,Attack,Positional attack,3587,FALSE,FALSE,22000,Ball receiving,1,22,Ball receiving,51.5,47.7,51.5,47.7,Unknown,0,0,success,34.61000000000013,TRUE,TRUE,1098448___73___15930___15953___goal
